Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Economic Growth (from prior year),Population,% <$1.90 a day,% of Famine,Maternal Mortality (Deaths),Maternal Mortality per 100k,Suicide Mortality per 100k,Life Expectancy (Year),% Male (Pop),% Rural Population,Death Rate (Crude) per 1k,Birth Rate (Crude) Per 1k,Natural Increase (Crude) per 1k,% Crop Production to '14-16 ,Gov Education Budget (% of),Country of asylum,Country of asylum (ISO),Authority,Stage of procedure,Cases / Persons,Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 48,202,470 ",1.5%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Cyprus,CYP,G,AR,P,0,0,10,10,20
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 48,202,470 ",1.5%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Norway,NOR,G,AR,P,0,0,10,0,10
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 48,202,470 ",1.5%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Sweden,SWE,G,AR,P,0,5,104,11,120
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Cyprus,CYP,G,AR,P,0,0,30,19,49
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,France,FRA,G,AR,P,5,0,63,0,68
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Ireland,IRL,G,AR,P,0,0,13,0,13
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Norway,NOR,G,AR,P,0,0,5,0,5
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Poland,POL,G,AR,P,0,0,11,10,21
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Sweden,SWE,G,AR,P,0,0,146,19,165
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 48,202,470 ",1.5%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Switzerland,CHE,G,AR,P,0,0,0,0,13
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Cyprus,CYP,G,AR,P,0,0,5,0,5
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Denmark,DNK,G,AR,P,5,0,0,0,5
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,France,FRA,G,AR,P,10,0,69,0,79
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Greece,GRC,G,AR,P,0,5,0,0,5
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Ireland,IRL,G,AR,P,0,0,5,0,5
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Norway,NOR,G,AR,P,0,0,37,0,37
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Poland,POL,G,AR,P,0,0,11,0,11
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Sweden,SWE,G,AR,P,0,0,78,10,88
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 48,202,470 ",1.5%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Switzerland,CHE,G,AR,P,0,10,12,0,22
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Canada,CAN,G,AR,P,0,0,17,0,17
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Denmark,DNK,G,AR,P,0,0,18,0,18
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,France,FRA,G,AR,P,5,5,59,0,69
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Greece,GRC,G,AR,P,0,0,27,14,41
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Ireland,IRL,G,AR,P,0,0,0,5,5
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Norway,NOR,G,AR,P,0,0,63,5,68
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Poland,POL,G,AR,P,0,0,156,13,169
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,South Africa,ZAF,G,AR,P,0,0,5,0,5
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 48,202,470 ",1.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,Sweden,SWE,G,AR,P,0,0,109,16,125
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Canada,CAN,G,AR,P,38,0,52,5,95
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Denmark,DNK,G,AR,P,0,5,30,0,35
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,France,FRA,G,AR,P,33,21,226,22,302
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Greece,GRC,G,AR,P,5,28,28,10,71
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Ireland,IRL,G,AR,P,5,0,5,0,10
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Kazakhstan,KAZ,G,AR,P,0,0,0,12,12
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Norway,NOR,G,AR,P,0,0,73,5,78
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 48,202,470 ",1.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Sweden,SWE,G,AR,P,5,5,358,37,405
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 48,202,470 ",1.5%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Australia,AUS,G,AR,P,0,0,5,0,5
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 48,202,470 ",1.5%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Denmark,DNK,G,AR,P,10,0,33,0,43
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 48,202,470 ",1.5%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Fiji,FJI,G,AR,P,0,0,0,5,5
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 48,202,470 ",1.5%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,France,FRA,G,AR,P,89,13,642,44,788
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Greece,GRC,G,AR,P,0,5,28,10,43
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Ireland,IRL,G,AR,P,5,0,11,5,21
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Luxembourg,LUX,G,AR,P,0,0,5,0,5
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Norway,NOR,G,AR,P,0,0,27,5,32
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Poland,POL,G,AR,P,5,5,451,130,591
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,South Africa,ZAF,G,AR,P,0,0,0,5,5
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Sweden,SWE,G,AR,P,10,11,805,108,934
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Australia,AUS,G,AR,P,0,0,10,0,10
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Canada,CAN,G,AR,P,12,0,12,0,24
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Cyprus,CYP,G,AR,P,0,0,0,5,5
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Denmark,DNK,G,AR,P,0,0,19,0,19
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,France,FRA,G,AR,P,71,30,413,5,519
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Greece,GRC,G,AR,P,0,5,12,5,22
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Iceland,ISL,G,AR,P,0,0,11,0,11
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Ireland,IRL,G,AR,P,0,0,5,0,5
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Kazakhstan,KAZ,G,AR,P,0,0,0,18,18
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Malta,MLT,G,AR,P,0,0,0,5,5
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Norway,NOR,G,AR,P,0,0,24,5,29
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Poland,POL,G,AR,P,0,22,489,0,511
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Sweden,SWE,G,AR,P,10,5,674,57,746
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,United States of America,USA,G,AR,P,35,0,10,52,97
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Argentina,ARG,G,AR,P,0,0,5,0,5
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Australia,AUS,G,AR,P,0,0,11,0,11
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Canada,CAN,G,AR,P,5,0,13,5,23
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Cyprus,CYP,G,AR,P,0,0,0,10,10
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Denmark,DNK,G,AR,P,0,0,5,0,5
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,France,FRA,G,AR,P,28,10,191,66,295
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Greece,GRC,G,AR,P,0,5,19,0,24
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Iceland,ISL,G,AR,P,0,0,13,0,13
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Ireland,IRL,G,AR,P,13,0,0,0,13
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Malta,MLT,G,AR,P,0,5,0,20,25
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Norway,NOR,G,AR,P,5,0,17,0,22
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Poland,POL,G,AR,P,0,10,277,13,300
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,United States of America,USA,G,AR,P,70,0,19,70,159
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Australia,AUS,G,AR,P,0,0,14,0,14
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Canada,CAN,G,AR,P,10,0,16,0,26
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Cyprus,CYP,G,AR,P,0,0,0,5,5
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Denmark,DNK,G,AR,P,5,0,19,0,24
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,France,FRA,G,AR,P,53,30,201,5,289
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Iceland,ISL,G,AR,P,0,0,16,5,21
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Ireland,IRL,G,AR,P,5,0,11,5,21
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Malta,MLT,G,AR,P,0,0,0,10,10
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Norway,NOR,G,AR,P,0,0,19,0,19
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Poland,POL,G,AR,P,5,0,143,0,148
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Sweden,SWE,G,AR,P,0,0,502,60,562
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,United States of America,USA,G,AR,P,83,0,42,75,200
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Australia,AUS,G,AR,P,0,0,10,0,10
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Canada,CAN,G,AR,P,0,0,5,5,46
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Denmark,DNK,G,AR,P,0,0,11,0,11
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,France,FRA,G,AR,P,27,5,122,0,154
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Greece,GRC,G,AR,P,0,0,91,5,96
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Iceland,ISL,G,AR,P,0,0,10,0,10
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Ireland,IRL,G,AR,P,13,0,0,0,13
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Norway,NOR,G,AR,P,0,0,24,0,24
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Poland,POL,G,AR,P,0,5,302,0,307
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Sweden,SWE,G,AR,P,5,0,460,52,517
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,United States of America,USA,G,AR,P,49,0,13,46,108
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Canada,CAN,G,AR,P,12,0,12,0,24
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Denmark,DNK,G,AR,P,0,0,5,0,5
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,France,FRA,G,AR,P,42,33,263,52,390
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Greece,GRC,G,AR,P,0,0,31,5,36
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Iceland,ISL,G,AR,P,0,5,0,0,5
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Malta,MLT,G,AR,P,0,0,13,0,13
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Norway,NOR,G,AR,P,0,0,11,0,11
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Sweden,SWE,G,AR,P,0,0,370,68,438
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,United States of America,USA,G,AR,P,59,0,13,92,164
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,United Kingdom of Great Britain and Northern Ireland,GBR,G,BL,C,0,155,0,20,175
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Italy,ITA,G,BL,P,0,33,5,42,80
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,United States of America,USA,G,EO,C,96,0,125,153,374
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,United States of America,USA,G,EO,C,86,0,90,125,301
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,812,949 ",0.6%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,United States of America,USA,G,EO,P,96,0,134,172,402
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,812,949 ",0.6%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,United States of America,USA,G,EO,P,106,0,110,154,370
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,United States of America,USA,G,EO,P,90,0,101,147,338
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,United States of America,USA,G,EO,P,69,0,101,115,285
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,812,949 ",0.6%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,United States of America,USA,G,EO,P,44,0,91,136,271
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,United States of America,USA,G,EO,P,31,0,22,100,153
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 47,812,949 ",0.6%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,United States of America,USA,G,EO,P,46,0,22,67,135
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 47,812,949 ",0.6%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,United States of America,USA,G,EO,P,26,0,56,126,208
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,812,949 ",0.6%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,United States of America,USA,G,EO,P,62,0,64,116,242
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 47,812,949 ",0.6%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,United States of America,USA,G,EO,P,56,0,82,114,252
